query,function_call
Tôi muốn thêm hiệu suất.,"add(departments='finance', content='performance', id='performance_711', type_of_time='year', specific_time='2025-01-01')"
Bạn kiểm tra giúp tôi nhân viên nhé trong quý trước.,"get(departments='manager', content='employee', id='employee_68', type_of_time='range', specific_time='2025-05-27 to 2025-06-14')"
Bạn có thể xóa nhân viên giùm tôi không?,"delete(departments='finance', content='employee', id='employee_847', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn đối chiếu nhiệm vụ từ ngày 1 đến ngày 15.,"compare(departments='finance', content='task', id='task_159', type_of_time='range', specific_time='2025-05-22 to 2025-06-20')"
Bạn có thể dự đoán báo cáo giúp tôi không? từ đầu tháng đến nay.,"predict(departments='finance', content='report', id='report_188', type_of_time='range', specific_time='2025-05-16 to 2025-05-21')"
Làm ơn thêm một nhiệm vụ mới giúp tôi.,"add(departments='finance', content='task', id='task_205', type_of_time='day', specific_time='2025-03-15')"
Tôi muốn xem thông tin báo cáo tháng này.,"get(departments='finance', content='report', id='report_779', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể xóa hóa đơn giùm tôi không?,"delete(departments='hr', content='invoice', id='invoice_178', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn biết sự khác biệt giữa các nghỉ phép tháng này.,"compare(departments='manager', content='leave_request', id='leave_request_535', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể dự đoán dự án giúp tôi không? tháng này.,"predict(departments='employee', content='project', id='project_640', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn thêm nhiệm vụ.,"add(departments='manager', content='task', id='task_705', type_of_time='year', specific_time='2025-01-01')"
Cho tôi biết về dự án được không? từ ngày 1 đến ngày 15.,"get(departments='employee', content='project', id='project_952', type_of_time='range', specific_time='2025-06-09 to 2025-06-16')"
Bạn có thể xóa dự án giùm tôi không?,"delete(departments='accountant', content='project', id='project_455', type_of_time='range', specific_time='2025-05-27 to 2025-06-12')"
Tôi muốn biết sự khác biệt giữa các nghỉ phép ngày 15 tháng 5.,"compare(departments='accountant', content='leave_request', id='leave_request_150', type_of_time='day', specific_time='2024-10-19')"
Tôi muốn biết dự báo về chấm công năm tới.,"predict(departments='hr', content='attendance', id='attendance_206', type_of_time='year', specific_time='2025-01-01')"
Mình cần tạo mới một báo cáo.,"add(departments='hr', content='report', id='report_924', type_of_time='year', specific_time='2025-01-01')"
Mình muốn biết tình hình hiệu suất tháng 6.,"get(departments='manager', content='performance', id='performance_302', type_of_time='month', specific_time='2025-06-01')"
Tôi cần hủy dự án.,"delete(departments='employee', content='project', id='project_324', type_of_time='day', specific_time='2024-09-08')"
Tôi muốn đối chiếu báo cáo ngày 1 tháng 6.,"compare(departments='hr', content='report', id='report_382', type_of_time='day', specific_time='2024-08-19')"
Tôi muốn biết dự báo về nghỉ phép ngày mai.,"predict(departments='finance', content='leave_request', id='leave_request_558', type_of_time='day', specific_time='2025-05-09')"
Mình cần tạo mới một báo cáo.,"add(departments='employee', content='report', id='report_140', type_of_time='year', specific_time='2025-01-01')"
Mình muốn biết tình hình nhiệm vụ hôm nay.,"get(departments='manager', content='task', id='task_88', type_of_time='day', specific_time='2024-07-04')"
Bạn có thể xóa dự án giùm tôi không?,"delete(departments='hr', content='project', id='project_512', type_of_time='month', specific_time='2025-06-01')"
Bạn giúp tôi so sánh các chấm công này nhé tháng 5 năm nay.,"compare(departments='employee', content='attendance', id='attendance_503', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể dự đoán chấm công giúp tôi không? năm ngoái.,"predict(departments='finance', content='attendance', id='attendance_578', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đăng ký nghỉ phép.,"add(departments='employee', content='leave_request', id='leave_request_746', type_of_time='range', specific_time='2025-06-05 to 2025-07-01')"
Tôi muốn xem thông tin chấm công ngày mai.,"get(departments='manager', content='attendance', id='attendance_840', type_of_time='day', specific_time='2024-08-04')"
Tôi muốn xóa chấm công.,"delete(departments='hr', content='attendance', id='attendance_799', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn đối chiếu chấm công ba tháng gần đây.,"compare(departments='accountant', content='attendance', id='attendance_158', type_of_time='range', specific_time='2025-05-27 to 2025-06-22')"
Bạn có thể dự đoán hiệu suất giúp tôi không? tháng 12 năm ngoái.,"predict(departments='accountant', content='performance', id='performance_96', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể giúp tôi thêm hiệu suất không?,"add(departments='accountant', content='performance', id='performance_757', type_of_time='month', specific_time='2025-06-01')"
Cho tôi biết về hiệu suất được không? ngày mai.,"get(departments='hr', content='performance', id='performance_693', type_of_time='day', specific_time='2025-03-30')"
Làm ơn gỡ bỏ chấm công này giúp tôi.,"delete(departments='manager', content='attendance', id='attendance_491', type_of_time='range', specific_time='2025-05-14 to 2025-05-28')"
Tôi muốn biết sự khác biệt giữa các hóa đơn năm nay.,"compare(departments='manager', content='invoice', id='invoice_838', type_of_time='year', specific_time='2025-01-01')"
Mình cần ước tính hóa đơn trong thời gian tới ba tháng gần đây.,"predict(departments='finance', content='invoice', id='invoice_311', type_of_time='range', specific_time='2025-05-14 to 2025-05-16')"
Mình cần tạo mới một báo cáo.,"add(departments='manager', content='report', id='report_739', type_of_time='range', specific_time='2025-05-27 to 2025-06-23')"
Tôi cần tra cứu hiệu suất hôm nay.,"get(departments='hr', content='performance', id='performance_445', type_of_time='day', specific_time='2024-10-20')"
Tôi cần hủy chấm công.,"delete(departments='accountant', content='attendance', id='attendance_316', type_of_time='year', specific_time='2025-01-01')"
So sánh các hiệu suất giúp tôi với tháng trước.,"compare(departments='employee', content='performance', id='performance_47', type_of_time='month', specific_time='2025-06-01')"
Mình cần ước tính chấm công trong thời gian tới năm tới.,"predict(departments='accountant', content='attendance', id='attendance_635', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn thêm dự án.,"add(departments='accountant', content='project', id='project_523', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn xem thông tin dự án tháng trước.,"get(departments='manager', content='project', id='project_354', type_of_time='month', specific_time='2025-06-01')"
Tôi cần hủy dự án.,"delete(departments='manager', content='project', id='project_385', type_of_time='range', specific_time='2025-05-25 to 2025-06-16')"
Mình cần so sánh tình trạng hiệu suất hôm qua.,"compare(departments='employee', content='performance', id='performance_63', type_of_time='day', specific_time='2024-08-25')"
Tôi muốn biết dự báo về báo cáo ngày mai.,"predict(departments='manager', content='report', id='report_986', type_of_time='day', specific_time='2024-09-07')"
Mình cần tạo mới một dự án.,"add(departments='hr', content='project', id='project_206', type_of_time='month', specific_time='2025-06-01')"
Tôi cần tra cứu chấm công năm tới.,"get(departments='manager', content='attendance', id='attendance_857', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn xóa hóa đơn.,"delete(departments='finance', content='invoice', id='invoice_256', type_of_time='range', specific_time='2025-06-07 to 2025-07-07')"
Tôi muốn biết sự khác biệt giữa các hóa đơn năm ngoái.,"compare(departments='finance', content='invoice', id='invoice_273', type_of_time='year', specific_time='2025-01-01')"
Cho tôi dự đoán về nhân viên năm tới.,"predict(departments='employee', content='employee', id='employee_165', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đăng ký nghỉ phép.,"add(departments='accountant', content='leave_request', id='leave_request_542', type_of_time='day', specific_time='2025-02-24')"
Bạn kiểm tra giúp tôi hóa đơn nhé hai tuần qua.,"get(departments='manager', content='invoice', id='invoice_27', type_of_time='range', specific_time='2025-05-20 to 2025-06-08')"
Tôi cần hủy hiệu suất.,"delete(departments='finance', content='performance', id='performance_661', type_of_time='month', specific_time='2025-06-01')"
So sánh các dự án giúp tôi với hôm nay.,"compare(departments='accountant', content='project', id='project_47', type_of_time='day', specific_time='2024-10-14')"
Bạn có thể dự đoán hóa đơn giúp tôi không? ngày 15 tháng 5.,"predict(departments='hr', content='invoice', id='invoice_316', type_of_time='day', specific_time='2025-03-25')"
Bạn có thể giúp tôi thêm nhiệm vụ không?,"add(departments='manager', content='task', id='task_490', type_of_time='month', specific_time='2025-06-01')"
Bạn kiểm tra giúp tôi chấm công nhé hai tuần qua.,"get(departments='manager', content='attendance', id='attendance_708', type_of_time='range', specific_time='2025-06-08 to 2025-06-29')"
Làm ơn gỡ bỏ hiệu suất này giúp tôi.,"delete(departments='accountant', content='performance', id='performance_870', type_of_time='year', specific_time='2025-01-01')"
Bạn giúp tôi so sánh các hiệu suất này nhé hai tuần qua.,"compare(departments='employee', content='performance', id='performance_549', type_of_time='range', specific_time='2025-06-06 to 2025-06-08')"
Tôi muốn biết dự báo về nghỉ phép trong quý trước.,"predict(departments='finance', content='leave_request', id='leave_request_188', type_of_time='range', specific_time='2025-05-20 to 2025-05-26')"
Làm ơn thêm một báo cáo mới giúp tôi.,"add(departments='hr', content='report', id='report_75', type_of_time='day', specific_time='2024-12-28')"
Bạn kiểm tra giúp tôi dự án nhé năm ngoái.,"get(departments='accountant', content='project', id='project_409', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn xóa dự án.,"delete(departments='employee', content='project', id='project_458', type_of_time='range', specific_time='2025-05-22 to 2025-06-13')"
Mình cần so sánh tình trạng nhiệm vụ từ ngày 1 đến ngày 15.,"compare(departments='manager', content='task', id='task_860', type_of_time='range', specific_time='2025-05-25 to 2025-06-01')"
Tôi muốn biết dự báo về nghỉ phép ngày 1 tháng 6.,"predict(departments='manager', content='leave_request', id='leave_request_442', type_of_time='day', specific_time='2025-05-29')"
Làm ơn thêm một hiệu suất mới giúp tôi.,"add(departments='hr', content='performance', id='performance_611', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn xem thông tin hiệu suất năm tới.,"get(departments='employee', content='performance', id='performance_813', type_of_time='year', specific_time='2025-01-01')"
Tôi cần hủy nhân viên.,"delete(departments='finance', content='employee', id='employee_56', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn biết sự khác biệt giữa các hiệu suất năm 2025.,"compare(departments='finance', content='performance', id='performance_137', type_of_time='year', specific_time='2025-01-01')"
Cho tôi dự đoán về dự án tháng này.,"predict(departments='accountant', content='project', id='project_76', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn thêm nghỉ phép.,"add(departments='accountant', content='leave_request', id='leave_request_523', type_of_time='range', specific_time='2025-05-25 to 2025-06-16')"
Bạn kiểm tra giúp tôi nghỉ phép nhé năm 2025.,"get(departments='finance', content='leave_request', id='leave_request_920', type_of_time='year', specific_time='2025-01-01')"
Làm ơn gỡ bỏ nhân viên này giúp tôi.,"delete(departments='employee', content='employee', id='employee_626', type_of_time='range', specific_time='2025-05-25 to 2025-06-08')"
So sánh các hiệu suất giúp tôi với từ đầu tháng đến nay.,"compare(departments='finance', content='performance', id='performance_337', type_of_time='range', specific_time='2025-06-06 to 2025-06-26')"
Tôi muốn biết dự báo về hiệu suất tháng này.,"predict(departments='manager', content='performance', id='performance_800', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn thêm hóa đơn.,"add(departments='accountant', content='invoice', id='invoice_706', type_of_time='range', specific_time='2025-06-06 to 2025-06-26')"
Tôi cần tra cứu nghỉ phép năm tới.,"get(departments='employee', content='leave_request', id='leave_request_79', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể xóa nghỉ phép giùm tôi không?,"delete(departments='hr', content='leave_request', id='leave_request_812', type_of_time='range', specific_time='2025-05-24 to 2025-06-17')"
Tôi muốn biết sự khác biệt giữa các nhân viên ngày 1 tháng 6.,"compare(departments='finance', content='employee', id='employee_806', type_of_time='day', specific_time='2025-04-13')"
Mình cần ước tính hóa đơn trong thời gian tới tháng 5 năm nay.,"predict(departments='employee', content='invoice', id='invoice_818', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn thêm hóa đơn.,"add(departments='accountant', content='invoice', id='invoice_819', type_of_time='day', specific_time='2025-02-13')"
Cho tôi biết về nghỉ phép được không? ngày 15 tháng 5.,"get(departments='accountant', content='leave_request', id='leave_request_978', type_of_time='day', specific_time='2025-05-03')"
Làm ơn gỡ bỏ hiệu suất này giúp tôi.,"delete(departments='manager', content='performance', id='performance_672', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đối chiếu nhân viên hai tuần qua.,"compare(departments='employee', content='employee', id='employee_774', type_of_time='range', specific_time='2025-05-29 to 2025-06-23')"
Bạn có thể dự đoán nhân viên giúp tôi không? năm ngoái.,"predict(departments='finance', content='employee', id='employee_47', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể giúp tôi thêm chấm công không?,"add(departments='finance', content='attendance', id='attendance_872', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn xem thông tin nhiệm vụ trong quý trước.,"get(departments='hr', content='task', id='task_861', type_of_time='range', specific_time='2025-05-18 to 2025-06-12')"
Bạn có thể xóa hóa đơn giùm tôi không?,"delete(departments='accountant', content='invoice', id='invoice_648', type_of_time='day', specific_time='2024-07-26')"
Tôi muốn biết sự khác biệt giữa các nghỉ phép ngày mai.,"compare(departments='accountant', content='leave_request', id='leave_request_132', type_of_time='day', specific_time='2024-11-03')"
Tôi muốn biết dự báo về nghỉ phép ngày 1 tháng 6.,"predict(departments='hr', content='leave_request', id='leave_request_225', type_of_time='day', specific_time='2024-11-29')"
Tôi muốn đăng ký hiệu suất.,"add(departments='hr', content='performance', id='performance_554', type_of_time='day', specific_time='2024-11-20')"
Tôi cần tra cứu nhiệm vụ tháng trước.,"get(departments='hr', content='task', id='task_564', type_of_time='month', specific_time='2025-06-01')"
Làm ơn gỡ bỏ nghỉ phép này giúp tôi.,"delete(departments='accountant', content='leave_request', id='leave_request_829', type_of_time='month', specific_time='2025-06-01')"
Mình cần so sánh tình trạng nhân viên tháng trước.,"compare(departments='employee', content='employee', id='employee_678', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể dự đoán dự án giúp tôi không? tháng 6.,"predict(departments='accountant', content='project', id='project_782', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể giúp tôi thêm hiệu suất không?,"add(departments='accountant', content='performance', id='performance_675', type_of_time='month', specific_time='2025-06-01')"
Mình muốn biết tình hình chấm công ba tháng gần đây.,"get(departments='hr', content='attendance', id='attendance_699', type_of_time='range', specific_time='2025-05-13 to 2025-06-09')"
Làm ơn gỡ bỏ dự án này giúp tôi.,"delete(departments='manager', content='project', id='project_620', type_of_time='range', specific_time='2025-05-12 to 2025-05-26')"
Mình cần so sánh tình trạng nghỉ phép năm ngoái.,"compare(departments='accountant', content='leave_request', id='leave_request_38', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn biết dự báo về chấm công tháng này.,"predict(departments='finance', content='attendance', id='attendance_489', type_of_time='month', specific_time='2025-06-01')"
Làm ơn thêm một dự án mới giúp tôi.,"add(departments='employee', content='project', id='project_543', type_of_time='day', specific_time='2024-10-05')"
Mình muốn biết tình hình nghỉ phép hai tuần qua.,"get(departments='employee', content='leave_request', id='leave_request_162', type_of_time='range', specific_time='2025-05-28 to 2025-06-04')"
Mình muốn loại bỏ dự án khỏi hệ thống.,"delete(departments='finance', content='project', id='project_196', type_of_time='month', specific_time='2025-06-01')"
So sánh các nhân viên giúp tôi với năm 2025.,"compare(departments='manager', content='employee', id='employee_115', type_of_time='year', specific_time='2025-01-01')"
Mình cần ước tính chấm công trong thời gian tới tháng 6.,"predict(departments='hr', content='attendance', id='attendance_949', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể giúp tôi thêm chấm công không?,"add(departments='hr', content='attendance', id='attendance_662', type_of_time='year', specific_time='2025-01-01')"
Bạn kiểm tra giúp tôi báo cáo nhé tháng 5 năm nay.,"get(departments='hr', content='report', id='report_94', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn xóa dự án.,"delete(departments='hr', content='project', id='project_939', type_of_time='day', specific_time='2025-05-16')"
Tôi muốn biết sự khác biệt giữa các nhân viên tháng này.,"compare(departments='manager', content='employee', id='employee_20', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể dự đoán hóa đơn giúp tôi không? năm 2025.,"predict(departments='accountant', content='invoice', id='invoice_358', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đăng ký nhân viên.,"add(departments='employee', content='employee', id='employee_377', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn xem thông tin nhân viên tháng 5 năm nay.,"get(departments='accountant', content='employee', id='employee_85', type_of_time='month', specific_time='2025-06-01')"
Tôi cần hủy hóa đơn.,"delete(departments='finance', content='invoice', id='invoice_358', type_of_time='year', specific_time='2025-01-01')"
So sánh các nhiệm vụ giúp tôi với từ đầu tháng đến nay.,"compare(departments='hr', content='task', id='task_241', type_of_time='range', specific_time='2025-05-26 to 2025-05-31')"
Bạn có thể dự đoán báo cáo giúp tôi không? hôm qua.,"predict(departments='finance', content='report', id='report_573', type_of_time='day', specific_time='2025-05-02')"
Tôi muốn thêm nhiệm vụ.,"add(departments='manager', content='task', id='task_527', type_of_time='range', specific_time='2025-06-03 to 2025-06-13')"
Tôi cần tra cứu nghỉ phép năm 2025.,"get(departments='accountant', content='leave_request', id='leave_request_26', type_of_time='year', specific_time='2025-01-01')"
Làm ơn gỡ bỏ nhân viên này giúp tôi.,"delete(departments='hr', content='employee', id='employee_255', type_of_time='day', specific_time='2024-10-17')"
So sánh các báo cáo giúp tôi với trong quý trước.,"compare(departments='hr', content='report', id='report_24', type_of_time='range', specific_time='2025-05-11 to 2025-05-29')"
Mình cần ước tính hóa đơn trong thời gian tới ngày 15 tháng 5.,"predict(departments='manager', content='invoice', id='invoice_434', type_of_time='day', specific_time='2024-10-30')"
Mình cần tạo mới một hóa đơn.,"add(departments='hr', content='invoice', id='invoice_323', type_of_time='day', specific_time='2025-05-17')"
Bạn kiểm tra giúp tôi hiệu suất nhé ngày mai.,"get(departments='accountant', content='performance', id='performance_904', type_of_time='day', specific_time='2024-09-24')"
Tôi cần hủy chấm công.,"delete(departments='manager', content='attendance', id='attendance_959', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đối chiếu hiệu suất hôm nay.,"compare(departments='finance', content='performance', id='performance_464', type_of_time='day', specific_time='2025-05-06')"
Mình cần ước tính nghỉ phép trong thời gian tới hôm nay.,"predict(departments='accountant', content='leave_request', id='leave_request_334', type_of_time='day', specific_time='2024-10-23')"
Tôi muốn đăng ký hóa đơn.,"add(departments='accountant', content='invoice', id='invoice_587', type_of_time='year', specific_time='2025-01-01')"
Tôi cần tra cứu hiệu suất ngày 15 tháng 5.,"get(departments='manager', content='performance', id='performance_852', type_of_time='day', specific_time='2024-06-22')"
Bạn có thể xóa hóa đơn giùm tôi không?,"delete(departments='hr', content='invoice', id='invoice_224', type_of_time='month', specific_time='2025-06-01')"
Mình cần so sánh tình trạng nhiệm vụ năm ngoái.,"compare(departments='accountant', content='task', id='task_596', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể dự đoán nghỉ phép giúp tôi không? năm ngoái.,"predict(departments='accountant', content='leave_request', id='leave_request_402', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể giúp tôi thêm nhiệm vụ không?,"add(departments='employee', content='task', id='task_722', type_of_time='day', specific_time='2025-01-09')"
Bạn kiểm tra giúp tôi nhân viên nhé trong quý trước.,"get(departments='accountant', content='employee', id='employee_57', type_of_time='range', specific_time='2025-06-03 to 2025-07-01')"
Bạn có thể xóa nghỉ phép giùm tôi không?,"delete(departments='hr', content='leave_request', id='leave_request_672', type_of_time='month', specific_time='2025-06-01')"
Mình cần so sánh tình trạng dự án ba tháng gần đây.,"compare(departments='employee', content='project', id='project_813', type_of_time='range', specific_time='2025-05-19 to 2025-06-06')"
Tôi muốn biết dự báo về nhiệm vụ ba tháng gần đây.,"predict(departments='finance', content='task', id='task_709', type_of_time='range', specific_time='2025-05-31 to 2025-06-30')"
Tôi muốn thêm nhân viên.,"add(departments='manager', content='employee', id='employee_196', type_of_time='day', specific_time='2024-09-30')"
Mình muốn biết tình hình hóa đơn năm 2024.,"get(departments='hr', content='invoice', id='invoice_768', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn xóa nhân viên.,"delete(departments='accountant', content='employee', id='employee_591', type_of_time='month', specific_time='2025-06-01')"
Bạn giúp tôi so sánh các nghỉ phép này nhé hai tuần qua.,"compare(departments='manager', content='leave_request', id='leave_request_475', type_of_time='range', specific_time='2025-05-24 to 2025-05-26')"
Tôi muốn biết dự báo về dự án năm 2024.,"predict(departments='employee', content='project', id='project_29', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đăng ký dự án.,"add(departments='employee', content='project', id='project_386', type_of_time='day', specific_time='2024-07-15')"
Tôi muốn xem thông tin chấm công trong quý trước.,"get(departments='employee', content='attendance', id='attendance_679', type_of_time='range', specific_time='2025-05-13 to 2025-05-30')"
Làm ơn gỡ bỏ hóa đơn này giúp tôi.,"delete(departments='employee', content='invoice', id='invoice_603', type_of_time='day', specific_time='2024-12-27')"
Bạn giúp tôi so sánh các hiệu suất này nhé từ đầu tháng đến nay.,"compare(departments='finance', content='performance', id='performance_906', type_of_time='range', specific_time='2025-05-15 to 2025-06-03')"
Bạn có thể dự đoán hiệu suất giúp tôi không? tháng trước.,"predict(departments='employee', content='performance', id='performance_358', type_of_time='month', specific_time='2025-06-01')"
Mình cần tạo mới một nghỉ phép.,"add(departments='finance', content='leave_request', id='leave_request_619', type_of_time='month', specific_time='2025-06-01')"
Mình muốn biết tình hình nghỉ phép ba tháng gần đây.,"get(departments='hr', content='leave_request', id='leave_request_868', type_of_time='range', specific_time='2025-05-18 to 2025-06-08')"
Làm ơn gỡ bỏ dự án này giúp tôi.,"delete(departments='manager', content='project', id='project_452', type_of_time='range', specific_time='2025-05-26 to 2025-06-02')"
So sánh các nghỉ phép giúp tôi với ngày 15 tháng 5.,"compare(departments='employee', content='leave_request', id='leave_request_222', type_of_time='day', specific_time='2024-12-04')"
Cho tôi dự đoán về chấm công năm tới.,"predict(departments='hr', content='attendance', id='attendance_229', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể giúp tôi thêm báo cáo không?,"add(departments='accountant', content='report', id='report_676', type_of_time='month', specific_time='2025-06-01')"
Mình muốn biết tình hình nhiệm vụ năm nay.,"get(departments='employee', content='task', id='task_428', type_of_time='year', specific_time='2025-01-01')"
Làm ơn gỡ bỏ dự án này giúp tôi.,"delete(departments='manager', content='project', id='project_915', type_of_time='day', specific_time='2025-05-14')"
Mình cần so sánh tình trạng chấm công trong quý trước.,"compare(departments='hr', content='attendance', id='attendance_264', type_of_time='range', specific_time='2025-06-02 to 2025-06-15')"
Tôi muốn biết dự báo về chấm công ba tháng gần đây.,"predict(departments='finance', content='attendance', id='attendance_436', type_of_time='range', specific_time='2025-05-17 to 2025-05-25')"
Mình cần tạo mới một báo cáo.,"add(departments='employee', content='report', id='report_640', type_of_time='day', specific_time='2025-03-23')"
